title,author,publisher,page,language,discount_rate,discounted_price,price,rating,reviews,cover,paper,isbn,date,link,image;
Var Mısın? & Güçlü Bir Yaşam İçin Öneriler,Doğan Cüceloğlu,KRONİK KİTAP,320,TÜRKÇE,% 37,31.63,50.00,5,1316,Karton Kapak,2. Hm. Kağıt,9786057635839,2021-01-11,https://www.kitapyurdu.com/kitap/var-misin-amp-guclu-bir-yasam-icin-oneriler/568760.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11343251/wi:100/wh:true;
Kayıp Tanrılar Ülkesi,Ahmet Ümit,YAPI KREDİ YAYINLARI,504,TÜRKÇE,% 40,25.14,42.00,5,667,Karton Kapak,Kitap Kağıdı,9789750850417,2021-06-14,https://www.kitapyurdu.com/kitap/kayip-tanrilar-ulkesi/583214.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11421625/wi:100/wh:true;
Fareler ve İnsanlar,John Steinbeck,SEL YAYINCILIK,111,TÜRKÇE,% 38,17.46,28.00,5,9380,Karton Kapak,Kitap Kağıdı,9789755705859,2020-05-21,https://www.kitapyurdu.com/kitap/fareler-ve-insanlar/280996.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11227945/wi:100/wh:true;
Simyacı (Ciltsiz),Paulo Coelho,CAN YAYINLARI,184,TÜRKÇE,% 57,19.39,45.00,5,15667,Karton Kapak,Kitap Kağıdı,9789750726439,2021-09-28,https://www.kitapyurdu.com/kitap/simyaci-ciltsiz/27328.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11484455/wi:100/wh:true;
Cesur Yeni Dünya,Aldous Huxley,İTHAKİ YAYINLARI,272,TÜRKÇE,% 65,16.57,48.00,5,6559,Karton Kapak,Kitap Kağıdı,9789756902165,2021-08-20,https://www.kitapyurdu.com/kitap/cesur-yeni-dunya/21087.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11447872/wi:100/wh:true;
Veba Geceleri,Orhan Pamuk,YAPI KREDİ YAYINLARI,544,TÜRKÇE,% 37,28.35,45.00,4,507,Karton Kapak,Kitap Kağıdı,9789750849282,2021-03-22,https://www.kitapyurdu.com/kitap/veba-geceleri/575761.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11384326/wi:100/wh:true;
Momo,Michael Ende,PEGASUS YAYINLARI,304,TÜRKÇE,% 43,34.49,59.98,5,9905,Karton Kapak,Kitap Kağıdı,9786052993019,2017-09-07,https://www.kitapyurdu.com/kitap/momo/434330.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:4493743/wi:100/wh:true;
Fahrenheit 451,Ray Bradbury,İTHAKİ YAYINLARI,208,TÜRKÇE,% 67,15.80,48.00,4,10420,Karton Kapak,Kitap Kağıdı,9786053757818,2021-08-20,https://www.kitapyurdu.com/kitap/fahrenheit-451/455877.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11486141/wi:100/wh:true;
Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,DERGAH YAYINLARI,382,TÜRKÇE,% 40,43.20,72.00,5,5537,Karton Kapak,Kitap Kağıdı,9789759955762,2017-09-15,https://www.kitapyurdu.com/kitap/saatleri-ayarlama-enstitusu/4780.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:4542435/wi:100/wh:true;
Benim Zürafam Uçabilir,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,64,TÜRKÇE,% 30,15.74,22.50,5,270,Karton Kapak,Kitap Kağıdı,9786050842159,2021-10-14,https://www.kitapyurdu.com/kitap/benim-zurafam-ucabilir/589761.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11467805/wi:100/wh:true;
